"Module Name","Display Name","Driver Type","Link Date"
"1394ohci","Hostitelskì ýadiŸ pro rozhran¡ OHCI standardu 1394","Kernel ",""
"3ware","3ware","Kernel ","19.05.2015 0:28:03"
"ACPI","OvladaŸ standardu ACPI spoleŸnosti Microsoft","Kernel ",""
"AcpiDev","OvladaŸ zaý¡zen¡ ACPI","Kernel ",""
"acpiex","Microsoft ACPIEx Driver","Kernel ",""
"acpipagr","OvladaŸ agregaŸn¡ho procesoru standardu ACPI","Kernel ",""
"AcpiPmi","OvladaŸ mØýiŸe nap jen¡ standardu ACPI","Kernel ",""
"acpitime","OvladaŸ buzen¡ rozhran¡ ACPI","Kernel ",""
"Acx01000","Acx01000","Kernel ",""
"ADP80XX","ADP80XX","Kernel ","09.04.2015 22:49:48"
"AFD","OvladaŸ pomocnìch funkc¡ pro rozhran¡ Winsock","Kernel ",""
"afunix","afunix","Kernel ",""
"ahcache","Application Compatibility Cache","Kernel ",""
"amdgpio2","OvladaŸ klienta GPIO AMD","Kernel ","07.02.2019 10:32:20"
"amdi2c","Slu§ba ýadiŸe I2C AMD","Kernel ","20.03.2019 5:57:33"
"AmdK8","OvladaŸ procesoru AMD K8","Kernel ",""
"amdkmdag","amdkmdag","Kernel ","04.11.2015 22:39:32"
"amdkmdap","amdkmdap","Kernel ","04.11.2015 22:16:43"
"AmdPPM","OvladaŸ procesoru AMD","Kernel ",""
"amdsata","amdsata","Kernel ","14.05.2015 14:14:52"
"amdsbs","amdsbs","Kernel ","11.12.2012 22:21:44"
"amdxata","amdxata","Kernel ","01.05.2015 2:55:35"
"AppID","AppID Driver","Kernel ",""
"applockerfltr","Smartlocker Filter Driver","Kernel ",""
"AppvStrm","AppvStrm","File System ",""
"AppvVemgr","AppvVemgr","File System ",""
"AppvVfs","AppvVfs","File System ",""
"arcsas","Adaptec SAS/SATA-II RAID Storport - ovladaŸ miniportu","Kernel ","09.04.2015 21:12:07"
"AsyncMac","RAS Asynchronous Media Driver","Kernel ",""
"atapi","Kan l IDE","Kernel ",""
"AtiHDAudioService","AMD Function Driver for HD Audio Service","Kernel ","14.04.2016 1:23:34"
"b06bdrv","QLogic - s¡œovì adapt‚r - VBD","Kernel ","25.05.2016 9:03:08"
"bam","Background Activity Moderator Driver","Kernel ",""
"BasicDisplay","BasicDisplay","Kernel ",""
"BasicRender","BasicRender","Kernel ",""
"bcmfn2","bcmfn2 Service","Kernel ","01.11.2016 3:09:15"
"Beep","Beep","Kernel ",""
"bindflt","Windows Bind Filter Driver","File System ",""
"bowser","Prohl¡§eŸ","File System ",""
"BthA2dp","Microsoft Bluetooth A2dp driver","Kernel ",""
"BthEnum","Slu§ba Bluetooth Enumerator","Kernel ",""
"BthHFEnum","OvladaŸ hands-free profilu Microsoft Bluetooth","Kernel ",""
"BthLEEnum","OvladaŸ £spory energie technologie Bluetooth","Kernel ",""
"BthMini","OvladaŸ radiostanice Bluetooth","Kernel ",""
"BTHMODEM","OvladaŸ pro komunikaci pomoc¡ modemu Bluetooth","Kernel ",""
"BTHPORT","OvladaŸ portu Bluetooth","Kernel ",""
"BTHUSB","OvladaŸ rozhran¡ USB radiostanice Bluetooth","Kernel ",""
"bttflt","Filtr Microsoft Hyper-V VHDPMEM BTT","Kernel ",""
"buttonconverter","Slu§ba pro zaý¡zen¡ pro ovl d n¡ pýenosnìch zaý¡zen¡","Kernel ",""
"CAD","OvladaŸ arbitrace nabit¡","Kernel ",""
"cdfs","CD/DVD File System Reader","File System ",""
"cdrom","OvladaŸ jednotky CD-ROM","Kernel ",""
"cht4iscsi","cht4iscsi","Kernel ","05.02.2019 14:51:31"
"cht4vbd","Chelsio - ovladaŸ virtu ln¡ sbØrnice","Kernel ","05.02.2019 14:47:51"
"CimFS","CimFS","File System ",""
"circlass","U§ivatelsk  infraŸerven  zaý¡zen¡","Kernel ",""
"CldFlt","Windows Cloud Files Filter Driver","File System ",""
"CLFS","Common Log (CLFS)","Kernel ",""
"CmBatt","OvladaŸ baterie pro kontroln¡ metodu standardu ACPI spoleŸnosti Microsoft","Kernel ",""
"CNG","CNG","Kernel ",""
"cnghwassist","CNG Hardware Assist algorithm provider","Kernel ",""
"CompositeBus","OvladaŸ rozpozn vac¡ho modulu slo§en‚ sbØrnice","Kernel ",""
"condrv","Console Driver","Kernel ",""
"CSC","OvladaŸ soubor… pro re§im offline","Kernel ",""
"dam","Desktop Activity Moderator Driver","Kernel ",""
"Dfsc","OvladaŸ klienta oboru n zv… DFS","File System ",""
"disk","OvladaŸ disku","Kernel ",""
"dmvsc","dmvsc","Kernel ",""
"drmkaud","OvladaŸe zvuku pova§ovan‚ spoleŸnost¡ Microsoft za d…vØryhodn‚","Kernel ",""
